gallery,date,termFreqs
baseball_ab2,2021-09-02,"(무득,29.024914924078836),(ㅅ,24.251648602781124),(ㅅ,24.251648602781124),(통,20.926858003447766),(-,20.88263737740432),(로리가,20.562214889859856),(9명,20.562214889859856),(끝내기,20.253913530205338),(15k,19.986850744956293),(2년간,19.986850744956293),(밀워키,19.986850744956293),(개우스먼,19.986850744956293),(평자,19.540563642327875),(양키스,19.540563642327875),(타자,19.175920528739965),(주멘,19.015835113392892),(통산,18.867619169085447),(마무리,18.867619169085447),(좋아?,18.867619169085447),(뉴욕,18.729633426111548),(버기신,18.256855869983085),(넣어도,17.963648921599333),(누구보다,17.874745396457666),(',17.789626167620074),(',17.789626167620074),(국대,17.67855078151623),(그렇고,17.629540752273),(스탯,17.554060096307307),(메이저,17.343339064991657),(하던,17.093012779083644),(버기,16.870561508863194),(0,16.577354560479442),(개눈깔,16.488451035337775),(다저슨,16.36209323209471),(지랄,16.282082562867313),(매일,16.282082562867313),(ㅅ,16.167765735187416),(a매치,16.09503044684567),(저슨신,15.957044703871764),(킹,15.827967661596622)"
baseball_ab2,2021-09-03,"(얻기,19.540563642327875),(링크,17.343339064991657),(\",17.152718705383005),(런,16.923898003027517),(공부,16.870561508863194),(실력,15.406838123381924),(가슴,15.23703923580895),(또,14.19026317447841),(잘하는,13.705022178159316),(vs,13.646536496855575),(사람,12.032165801858717),(저,10.405627004719715),(만나네,10.281107444929928),(더쇼,10.281107444929928),(투수는,10.281107444929928),(더쇼,10.281107444929928),(보는지,10.281107444929928),(됩니다,10.281107444929928),(바보,10.281107444929928),(개돼지들,10.281107444929928),(녹데,10.281107444929928),(투수들,10.281107444929928),(같음??,10.281107444929928),(어려운거,10.281107444929928),(투수는,10.281107444929928),(자격,10.281107444929928),(잭,10.281107444929928),(마인드로,10.281107444929928),(플옵에서,10.281107444929928),(뭡니까,10.281107444929928),(더쇼,10.281107444929928),(만루에서,10.281107444929928),(됩니다,10.281107444929928),(아무말도,10.281107444929928),(이시국에,10.281107444929928),(녹데,10.281107444929928),(안하는거임?,10.281107444929928),(간부들,10.281107444929928),(박항서가,10.281107444929928),(to,10.281107444929928)"
baseball_new10,2021-09-02,"(퉤,32.05971765911428),(이재앙,31.39028700517165),(나꼬,29.98027611743444),(바지,28.09445013916732),(조금만,28.09445013916732),(토레공주님,21.373145106076183),(앰~,21.373145106076183),(앰~,21.373145106076183),(토레공주님,21.373145106076183),(앰~,21.373145106076183),(보장,21.373145106076183),(좆흥좆,20.919001459001354),(은행,20.562214889859856),(m~,20.562214889859856),(m~,20.562214889859856),(m~,20.562214889859856),(m~,20.562214889859856),(파도,20.253913530205338),(0명,20.253913530205338),(메건,19.986850744956293),(비겨도,19.986850744956293),(나꼬,19.986850744956293),(ㅜㅠ,19.986850744956293),(얘들은,19.75128467364353),(소금,19.75128467364353),(죽을,19.540563642327875),(얻기,19.540563642327875),(매력,19.540563642327875),(50,19.349943282719224),(괴즐나사,19.349943282719224),(씹투,19.349943282719224),(war,19.175920528739965),(팍,19.175920528739965),(최대한,19.015835113392892),(쎈,19.015835113392892),(창녀,18.867619169085447),(먹을까,18.867619169085447),(아드보카트가,18.867619169085447),(김민짜이,18.729633426111548),(병장,18.600556383836402)"
baseball_new10,2021-09-03,"(웃으면,52.31714500861941),(헤드샷,45.38567320301996),(히카루!,43.897018501959494),(윤희야,43.88515024076827),(윤희야,43.88515024076827),(안돼,43.703312019913895),(10조,43.52785542085755),(!,40.14907823161717),(어머나,39.50256934728706),(에이셉,38.69988656543845),(에이셉,38.69988656543845),(나애교,37.201112767672804),(사랑했다,35.57925233524015),(사랑했다,35.57925233524015),(.,35.55011141949038),(.,35.55011141949038),(코고,35.259081504546),(설아누나,35.108120192614614),(윤희야,35.108120192614614),(운지,34.834607201287014),(10조,34.82228433668604),(10조,34.82228433668604),(쥐소연,33.418975921707414),(히카루!,32.92276387646962),(!,32.11926258529373),(죽었어요,32.05971765911428),(이제갈게,31.39028700517165),(틀뽀누나,30.843322334789782),(야요미공주님,30.380870295308007),(심운,30.380870295308007),(갈게,29.98027611743444),(통수의,29.626927010465295),(계셔?,29.310845463491813),(야떼리,29.310845463491813),(마네킹,29.310845463491813),(이종범,28.763880793109948),(댕댕이,28.763880793109948),(이종범,28.763880793109948),(뽕짝,28.301428753628173),(뽕짝,28.301428753628173)"
baseball_new10,2021-09-04,"(...,22.92615034594401),(...,22.92615034594401),(.,21.330066851694227),(원빈,20.253913530205338),(건물,18.479307140203534),(마약,18.05668895286912),(살기,17.629540752273),(\",17.152718705383005),(톤,16.923898003027517),(시,16.767974920088093),(=,16.710230604727077),(라면,16.62333359692884),(개발,16.577354560479442),(ㅅ,16.167765735187416),(하이브,16.059631292646866),(똥,15.381680558968203),(똥,15.381680558968203),(ㅅㅅ,15.33229533378746),(...,15.284100230629338),(.,14.220044567796151),(인생,13.95823342670244),(글,13.480296241785227),(노래,12.971236511515468),(ㄹㅇ,11.031490860988367),(버스커,10.463429001723883),(통,10.463429001723883),(저,10.405627004719715),(18번,10.281107444929928),(고유진,10.281107444929928),(코혼산,10.281107444929928),(썬더토큰,10.281107444929928),(단타개꿀,10.281107444929928),(피자에,10.281107444929928),(고유진,10.281107444929928),(빠는중,10.281107444929928),(미안하면,10.281107444929928),(미안하면,10.281107444929928),(일베충,10.281107444929928),(쳐줌?,10.281107444929928),(ㄹㅇ..jpg,10.281107444929928)"
bitcoins,2021-09-02,"(ㄱ,108.95370462213428),(♥,105.46756290806981),(ㄷ,62.07045463425738),(ㅠㅠ엄마,42.74629021215237),(ㅠㅠ엄마,42.74629021215237),(ㄷ,41.38030308950492),(ㄷ,41.38030308950492),(ㅅ,40.41941433796854),(ㅅ,40.41941433796854),(ㅡㅡㅡㅡㅡ,39.50256934728706),(ㄱ,38.91203736504796),(미안해,36.729980625047276),(미안해,36.729980625047276),(ㅅ,32.33553147037483),(씨1발,30.380870295308007),(주세요,29.98027611743444),(썬,28.301428753628173),(ㄷ,27.586868726336615),(시발,26.24902646331107),(ㅅ,24.251648602781124),(ㅅ,24.251648602781124),(공지,22.890646973003),(액시,21.373145106076183),(액시,21.373145106076183),(머장,20.93735014005366),(☆☆☆,20.926858003447766),(리또속,20.926858003447766),(■■■■,20.926858003447766),(디파이,20.926858003447766),(☆☆☆,20.926858003447766),(☆☆☆,20.926858003447766),(ㄷ,20.69015154475246),(ㄷ,20.69015154475246),(튀어오른다,20.562214889859856),(뭐에,20.562214889859856),(ㅡㅡㅡㅡㅡㅡ,20.562214889859856),(●●●,20.562214889859856),(질리카,20.253913530205338),(질리카,20.253913530205338),(경주마는,20.253913530205338)"
bitcoins,2021-09-03,"(ㅠㅠ엄마,42.74629021215237),(미안해,36.729980625047276),(코인베이스,20.926858003447766),(☆☆☆,20.926858003447766),(비케똥,18.729633426111548),(망했다,18.364990312523638),(너도,18.256855869983085),(가격,15.146114487655435),(스택스,14.164868654758493),(스택스,14.164868654758493),(ㄷ,13.793434363168307),(간다,13.793434363168307),(ㄷ,13.793434363168307),(코인,13.651685683994993),(글,13.480296241785227),(온버프,13.03207770491689),(제발,12.041555490467132),(?,11.465015220860462),(코인베이스,10.463429001723883),(선동하는,10.281107444929928),(짤좀,10.281107444929928),(어케봄?,10.281107444929928),(코박토큰,10.281107444929928),(유쾌한,10.281107444929928),(유의,10.281107444929928),(신세경,10.281107444929928),(떨어지지,10.281107444929928),(저점인데,10.281107444929928),(알파,10.281107444929928),(쏘기,10.281107444929928),(황탈,10.281107444929928),(큰그림,10.281107444929928),(안보인다,10.281107444929928),(스택스는,10.281107444929928),(30%,10.281107444929928),(쳐발리는,10.281107444929928),(포튜브는,10.281107444929928),(원금,10.281107444929928),(보냈는데,10.281107444929928),(몇이냐,10.281107444929928)"
comic_new2,2021-09-02,"(하이,59.25385402093059),(!,56.20870952426403),(와!,30.380870295308007),(우흥,30.33692217770337),(.,28.440089135592302),(.,28.440089135592302),(탕,27.385283804974627),(..,21.6159973911072),(보장,21.373145106076183),(.,21.330066851694227),(치킨은,20.926858003447766),(회,20.562214889859856),(스시,20.562214889859856),(to,20.562214889859856),(my,20.562214889859856),(전문가,20.253913530205338),(나오게,20.253913530205338),(비비,19.986850744956293),(친,19.75128467364353),(쳐맞아도,19.75128467364353),(옵치,19.75128467364353),(압도적인,19.349943282719224),(과자,19.349943282719224),(오냐,19.175920528739965),(타카기,19.175920528739965),(돼?,19.015835113392892),(1일,19.015835113392892),(애니가,18.867619169085447),(먹을까,18.867619169085447),(먹을까,18.867619169085447),(갈까,18.729633426111548),(빵,18.729633426111548),(똥을,18.600556383836402),(크기,18.479307140203534),(하는거냐,18.479307140203534),(알고보니,18.256855869983085),(횟수,18.05668895286912),(ntr,18.05668895286912),(',17.789626167620074),(오프닝,17.707982178579563)"
comic_new2,2021-09-03,"(배고파,48.37485820679806),(\",34.30543741076601),(/,32.48649278230622),(소고기,30.380870295308007),(츠바키,20.562214889859856),(오빠가,19.986850744956293),(안녕,17.874745396457666),(그렇고,17.629540752273),(정신병,16.767974920088093),(없고,15.990658940504527),(섹스,15.458122984608599),(큰,14.164868654758493),(인생,13.95823342670244),(-,13.92175825160288),(군대,13.694240480889563),(?,11.465015220860462),(되어,10.463429001723883),(국,10.281107444929928),(레바는,10.281107444929928),(목소리로,10.281107444929928),(색기들,10.281107444929928),(당신이,10.281107444929928),(츠바키,10.281107444929928),(철야의노래,10.281107444929928),(될줄,10.281107444929928),(공익인데,10.281107444929928),(기억도,10.281107444929928),(라프텔,10.281107444929928),(한쪽,10.281107444929928),(공익인데,10.281107444929928),(만신,10.281107444929928),(첫좀,10.281107444929928),(있는거임,10.281107444929928),(넘음,10.281107444929928),(방구,10.281107444929928),(들어왔네,10.281107444929928),(환자,10.281107444929928),(싶다...,10.281107444929928),(국산,10.281107444929928),(느낀건,10.281107444929928)"
drama_new3,2021-09-02,"(ㄷ,34.48358590792077),(ㄷ,27.586868726336615),(약과,20.562214889859856),(오오,20.253913530205338),(우르르,20.253913530205338),(imf,19.986850744956293),(변이,19.986850744956293),(제시카,19.349943282719224),(변호사,19.349943282719224),(퍼,19.175920528739965),(올레,19.015835113392892),(안되고,19.015835113392892),(조국,18.729633426111548),(태연,18.729633426111548),(사과,18.600556383836402),(기자,18.600556383836402),(초딩때,18.479307140203534),(누군,18.479307140203534),(송중기,18.05668895286912),(할줄,17.789626167620074),(그렇고,17.629540752273),(시발년,17.629540752273),(망붕,17.554060096307307),(갯차,17.277759419345674),(소시,17.277759419345674),(뭐,17.18169165998816),(냄새,17.093012779083644),(김웅,16.978695951403747),(공식,16.870561508863194),(한국인,16.09503044684567),(없고,15.990658940504527),(~,15.957044703871764),(폰,15.766424344263115),(넘,15.484267147743303),(막,15.406838123381924),(칸,15.124014815282266),(친구,14.744773096731134),(디피,14.537691738849453),(카페,14.178520584899292),(얼굴,14.151309280787736)"
