BEST_WORDS,GALL_ID
", 대피소갤, 석경이, [강미나갤], ❤❤, breathe✨투표왔골차❤(설쉬)특, 예인이, [각개][양지은갤], ❇사는맛❇, 미주시","lovegame, penthouse, leagueoflegends4, lovelyz, ironmen, ohmygirl, etc_program2, japan_entertainment, producex, gf"
"ㅁㅊㅇㅍ, ㅇㄹ, 언리, 엘프, 라티카, 비숍, 명치오픈, 야테, 야테란투, 네크","shadowverse, lostark, stream, baseball_new10, nba, samsunglions_new, comic_new2, skwyverns, football_new7, giants_new2"
"쿠크, 비아하드, 하익, 바드, 건슬, 비아, 리퍼, 로아, 배마, 아르카나","lostark, stream, nba, baseball_new10, d_fighter_new2, comic_new2, samsunglions_new, skwyverns, elsword, football_new7"
"쿠크, 비아하드, 하익, 바드, 건슬, 비아, 리퍼, 배마, 아르카나, 창술","lostark, bitcoins, shadowverse, lovegame, penthouse, etc_program2, lovelyz, ironmen, monsterhunter, gf"
