words,galls
"(철구,48.73),(시조새,33.38),(감바스,23.60),(퍼스트,21.48),(김봉준,19.70)","[(ib_new2,86.40),(leagueoflegends4,37.69),(lostark,25.27),(stream,19.71),(grsgills,3.17)"
"(퍼스트,48.73),(쇼메,33.38),(케리,23.60),(디디,21.48),(페이,19.70)","(ib_new2,86.40),(leagueoflegends4,37.69),(lostark,25.27),(stream,19.71),(grsgills,3.17)"
