rank, score, word, galls
55,651.0,회장,"[20210818_stream(559.0),20210818_divination(11.0),20210818_ib_new2(11.0),20210818_lostark(10.0),20210818_comic_new2(10.0),20210818_drama_new3(8.0),20210818_baseball_new10(8.0),20210818_football_new7(8.0),20210818_mistertrot(6.0),20210818_bike(3.0),20210818_car_new1(3.0),20210818_immovables(2.0),20210818_giants_new2(2.0),20210818_etc_program2(2.0),20210818_d_fighter_new2(2.0),20210818_neostock(2.0),20210818_fight_game(2.0),20210818_bitcoins(2.0),20210818_figureskating_new(2.0)]"
56,649.0,프랑코,"[20210818_giants_new2(553.0),20210818_sh_new(78.0),20210818_baseball_ab2(15.0),20210818_skwyverns(3.0)]"
57,647.0,판개,"[20210818_fantasy_new(644.0),20210818_typemoon(4.0)]"
58,643.0,메주,"[20210818_w_entertainer(103.0),20210818_fantasy_new(533.0),20210818_m_entertainer1(6.0)]"
59,641.0,팟,"[20210818_lostark(279.0),20210818_stream(107.0),20210818_elsword(87.0),20210818_ff14(30.0),20210818_fantasy_new(24.0),20210818_d_fighter_new2(20.0),20210818_closers(14.0),20210818_maplestory(10.0),20210818_earphone(10.0),20210818_pokemon(7.0),20210818_smartphone(5.0),20210818_bns(5.0),20210818_granblue(4.0),20210818_divination(4.0),20210818_mabi_heroes2(3.0),20210818_typemoon(3.0),20210818_ani1_new1(3.0),20210818_tr(3.0),20210818_baseball_new10(3.0),20210818_fashion_new1(2.0),20210818_redvelvet(2.0),20210818_tabletpc(2.0),20210818_depression_new1(2.0),20210818_comic_new2(2.0),20210818_cs_new1(1.0),20210818_diet(1.0),20210818_game_mabinogi1(1.0),20210818_pridepc_new4(1.0),20210818_producex(1.0),20210818_exam_new2(1.0),20210818_iu_new(1.0),20210818_ib_new2(1.0),20210818_toy(1.0),20210818_gongik_new(1.0),20210818_leagueoflegends4(1.0),20210818_baseball_ab2(1.0),20210818_idolmaster(1.0),20210818_fifaonline(1.0)]"
60,638.0,홈런,"[20210818_lgtwins_new(96.0),20210818_tigers_new(75.0),20210818_giants_new2(71.0),20210818_baseball_ab2(66.0),20210818_ktwiz(61.0),20210818_hanwhaeagles_new(61.0),20210818_samsunglions_new(53.0),20210818_sh_new(52.0),20210818_doosanbears_new1(30.0),20210818_ncdinos(30.0),20210818_skwyverns(25.0),20210818_lotto_new2(9.0),20210818_football_new7(4.0),20210818_loan_new1(2.0),20210818_fantasy_new(2.0),20210818_idolmaster(2.0)]"
61,633.0,각인,"[20210818_lostark(597.0),20210818_stream(8.0),20210818_samsunglions_new(4.0),20210818_mistertrot(4.0),20210818_d_fighter_new2(4.0),20210818_giants_new2(2.0),20210818_mabi_heroes2(2.0),20210818_granblue(2.0),20210818_football_new7(2.0),20210818_boardgame(2.0),20210818_drama_new3(2.0),20210818_grsgills(2.0),20210818_baseball_ab2(2.0),20210818_elsword(2.0)]"
62,632.0,딜,"[20210818_lostark(197.0),20210818_leagueoflegends4(94.0),20210818_elsword(93.0),20210818_d_fighter_new2(54.0),20210818_stream(28.0),20210818_typemoon(27.0),20210818_ff14(24.0),20210818_mabi_heroes2(21.0),20210818_maplestory(17.0),20210818_granblue(8.0),20210818_closers(6.0),20210818_bns(6.0),20210818_comic_new2(6.0),20210818_monsterhunter(4.0),20210818_pokemon(4.0),20210818_loan_new1(3.0),20210818_ib_new2(3.0),20210818_car_new1(3.0),20210818_idolmaster(3.0),20210818_pumpitup(2.0),20210818_lgbt(2.0),20210818_baseball_new10(2.0),20210818_lgtwins_new(2.0),20210818_football_new7(2.0),20210818_kancolle(2.0),20210818_pridepc_new4(2.0),20210818_drama_new3(2.0),20210818_kart(2.0),20210818_fantasy_new(2.0),20210818_earphone(2.0),20210818_grsgills(2.0),20210818_hanwhaeagles_new(2.0),20210818_programming(1.0),20210818_giants_new2(1.0),20210818_arbeit(1.0),20210818_game_mabinogi1(1.0),20210818_pripara(1.0),20210818_iu_new(1.0),20210818_extra(1.0),20210818_ani1_new1(1.0),20210818_bike(1.0),20210818_gongik_new(1.0),20210818_neostock(1.0),20210818_jumper(1.0),20210818_depression_new1(1.0)]"
63,625.0,디디,"[20210818_leagueoflegends4(607.0),20210818_baseball_new10(9.0),20210818_fantasy_new(6.0),20210818_pumpitup(3.0)]"
64,616.0,아이즈,"[20210818_grsgills(256.0),20210818_top12(206.0),20210818_baseball_new10(55.0),20210818_akb48(24.0),20210818_etc_program2(25.0),20210818_w_entertainer(10.0),20210818_drama_new3(6.0),20210818_tr(6.0),20210818_pumpitup(4.0),20210818_bts(3.0),20210818_producex(3.0),20210818_leagueoflegends4(3.0),20210818_giants_new2(1.0),20210818_football_new7(1.0),20210818_extra(1.0),20210818_gf(1.0),20210818_earphone(1.0),20210818_m_entertainer1(1.0),20210818_baseball_ab2(1.0),20210818_comic_new2(1.0),20210818_twice_new(1.0),20210818_hiphop(1.0)]"
65,609.0,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"[20210818_sh_new(560.0),20210818_baseball_new10(23.0),20210818_bitcoins(6.0),20210818_ib_new2(4.0),20210818_samsunglions_new(2.0),20210818_lgtwins_new(2.0),20210818_maplestory(2.0),20210818_closers(2.0),20210818_smartphone(2.0),20210818_sdvx(2.0),20210818_grsgills(2.0),20210818_top12(2.0)]"
66,608.0,남수,[20210818_ib_new2(608.0)]
67,606.0,채원,"[20210818_grsgills(123.0),20210818_top12(405.0),20210818_akb48(39.0),20210818_etc_program2(14.0),20210818_baseball_new10(12.0),20210818_producex(7.0),20210818_leagueoflegends4(2.0),20210818_w_entertainer(2.0),20210818_redvelvet(2.0)]"
68,582.0,미드,"[20210818_leagueoflegends4(511.0),20210818_baseball_new10(11.0),20210818_fantasy_new(9.0),20210818_grsgills(8.0),20210818_football_new7(6.0),20210818_fifaonline(5.0),20210818_iu_new(5.0),20210818_maplestory(3.0),20210818_d_fighter_new2(3.0),20210818_baseball_ab2(3.0),20210818_comic_new2(3.0),20210818_touhou(3.0),20210818_lostark(2.0),20210818_closers(2.0),20210818_drama_new3(2.0),20210818_pokemon(2.0),20210818_earphone(2.0),20210818_jumper(2.0),20210818_lgbt(2.0),20210818_depression_new1(2.0),20210818_idolmaster(2.0)]"
69,582.0,스타쉽,"[20210818_grsgills(119.0),20210818_top12(435.0),20210818_kart(17.0),20210818_etc_program2(8.0),20210818_baseball_new10(3.0)]"
70,576.0,범수,"[20210818_hanwhaeagles_new(472.0),20210818_baseball_ab2(48.0),20210818_samsunglions_new(35.0),20210818_tigers_new(8.0),20210818_lgtwins_new(5.0),20210818_w_entertainer(5.0),20210818_grsgills(3.0)]"
71,572.0,관문,"[20210818_lostark(565.0),20210818_tigers_new(3.0),20210818_lgtwins_new(3.0)]"
72,564.0,섭,"[20210818_lostark(120.0),20210818_giants_new2(91.0),20210818_ff14(86.0),20210818_baseball_ab2(40.0),20210818_lgtwins_new(30.0),20210818_maplestory(27.0),20210818_d_fighter_new2(31.0),20210818_ktwiz(17.0),20210818_tabletpc(14.0),20210818_drama_new3(13.0),20210818_idolmaster(11.0),20210818_smartphone(10.0),20210818_baseball_new10(8.0),20210818_game_mabinogi1(7.0),20210818_stream(7.0),20210818_elsword(7.0),20210818_typemoon(6.0),20210818_fifaonline(6.0),20210818_leagueoflegends4(5.0),20210818_boardgame(3.0),20210818_fantasy_new(3.0),20210818_mabi_heroes2(2.0),20210818_granblue(2.0),20210818_iu_new(2.0),20210818_ib_new2(2.0),20210818_m_entertainer1(2.0),20210818_bns(2.0),20210818_kancolle(1.0),20210818_mistertrot(1.0),20210818_closers(1.0),20210818_extra(1.0),20210818_ufc(1.0),20210818_ani1_new1(1.0),20210818_earphone(1.0),20210818_sh_new(1.0),20210818_comic_new2(1.0)]"
73,562.0,아르고스,"[20210818_lostark(549.0),20210818_stream(10.0),20210818_maplestory(3.0)]"
74,558.0,즙,"[20210818_stream(202.0),20210818_leagueoflegends4(284.0),20210818_depression_new1(17.0),20210818_giants_new2(8.0),20210818_doosanbears_new1(7.0),20210818_baseball_new10(7.0),20210818_stock_new2(5.0),20210818_samsunglions_new(5.0),20210818_nba(3.0),20210818_ib_new2(3.0),20210818_m_entertainer1(3.0),20210818_idolmaster(3.0),20210818_skwyverns(2.0),20210818_akb48(2.0),20210818_ktwiz(2.0),20210818_drama_new3(2.0),20210818_w_entertainer(2.0),20210818_grsgills(2.0)]"
75,558.0,안타,"[20210818_lgtwins_new(107.0),20210818_giants_new2(78.0),20210818_sh_new(70.0),20210818_ktwiz(50.0),20210818_baseball_ab2(46.0),20210818_samsunglions_new(38.0),20210818_hanwhaeagles_new(38.0),20210818_bitcoins(34.0),20210818_tigers_new(32.0),20210818_doosanbears_new1(18.0),20210818_ncdinos(18.0),20210818_skwyverns(8.0),20210818_lotto_new2(5.0),20210818_lostark(3.0),20210818_neostock(3.0),20210818_depression_new1(3.0),20210818_diet(2.0),20210818_producex(2.0),20210818_bike(2.0),20210818_leagueoflegends4(2.0),20210818_idolmaster(2.0)]"
76,555.0,우승,"[20210818_leagueoflegends4(149.0),20210818_football_new7(108.0),20210818_nba(65.0),20210818_lgtwins_new(46.0),20210818_baseball_ab2(58.0),20210818_giants_new2(22.0),20210818_samsunglions_new(14.0),20210818_hiphop(13.0),20210818_tigers_new(12.0),20210818_kart(11.0),20210818_doosanbears_new1(6.0),20210818_ktwiz(5.0),20210818_fantasy_new(5.0),20210818_car_new1(5.0),20210818_superband2(5.0),20210818_skwyverns(4.0),20210818_hanwhaeagles_new(4.0),20210818_lotto_new2(3.0),20210818_stream(3.0),20210818_sh_new(2.0),20210818_comic_new2(2.0),20210818_figureskating_new(1.0),20210818_kancolle(1.0),20210818_lostark(1.0),20210818_pumpitup(1.0),20210818_akb48(1.0),20210818_divination(1.0),20210818_mistertrot(1.0),20210818_iu_new(1.0),20210818_boardgame(1.0),20210818_ib_new2(1.0),20210818_w_entertainer(1.0),20210818_grsgills(1.0),20210818_top12(1.0),20210818_idolmaster(1.0),20210818_ncdinos(1.0),20210818_baseball_new10(1.0)]"
77,541.0,아프간,"[20210818_baseball_new10(95.0),20210818_comic_new2(79.0),20210818_drama_new3(68.0),20210818_fantasy_new(54.0),20210818_baseball_ab2(34.0),20210818_stock_new2(24.0),20210818_neostock(22.0),20210818_immovables(18.0),20210818_idolmaster(16.0),20210818_stream(12.0),20210818_w_entertainer(9.0),20210818_m_entertainer1(8.0),20210818_akb48(8.0),20210818_car_new1(8.0),20210818_etc_program2(7.0),20210818_mystery(6.0),20210818_giants_new2(6.0),20210818_mabi_heroes2(4.0),20210818_pridepc_new4(4.0),20210818_divination(4.0),20210818_ib_new2(4.0),20210818_ani1_new1(4.0),20210818_d_fighter_new2(4.0),20210818_producex(4.0),20210818_diet(3.0),20210818_toy(3.0),20210818_football_new7(2.0),20210818_kancolle(2.0),20210818_leagueoflegends4(2.0),20210818_top12(2.0),20210818_lostark(2.0),20210818_typemoon(2.0),20210818_maplestory(2.0),20210818_elsword(2.0),20210818_programming(1.0),20210818_bitcoins(1.0),20210818_government(1.0),20210818_coronavirus(1.0),20210818_fashion_new1(1.0),20210818_iu_new(1.0),20210818_extra(1.0),20210818_bike(1.0),20210818_earphone(1.0),20210818_lgbt(1.0),20210818_nba(1.0),20210818_granblue(1.0),20210818_arbeit(1.0),20210818_loan_new1(1.0),20210818_ufc(1.0),20210818_tigers_new(1.0),20210818_blackpink(1.0),20210818_grsgills(1.0),20210818_sh_new(1.0),20210818_redvelvet(1.0),20210818_depression_new1(1.0)]"
78,535.0,스트,"[20210818_ib_new2(325.0),20210818_giants_new2(27.0),20210818_lgtwins_new(31.0),20210818_samsunglions_new(21.0),20210818_boardgame(20.0),20210818_pridepc_new4(12.0),20210818_elsword(10.0),20210818_hanwhaeagles_new(9.0),20210818_sh_new(8.0),20210818_ktwiz(6.0),20210818_baseball_ab2(6.0),20210818_tigers_new(5.0),20210818_bitcoins(4.0),20210818_d_fighter_new2(4.0),20210818_ncdinos(4.0),20210818_tr(4.0),20210818_doosanbears_new1(3.0),20210818_lostark(3.0),20210818_extra(2.0),20210818_chicken(2.0),20210818_top12(2.0),20210818_comic_new2(2.0),20210818_baseball_new10(2.0),20210818_coronavirus(1.0),20210818_leagueoflegends4(1.0),20210818_fantasy_new(1.0),20210818_car_new1(1.0),20210818_idolmaster(1.0),20210818_fifaonline(1.0),20210818_hiphop(1.0),20210818_programming(1.0),20210818_sphero(1.0),20210818_mabi_heroes2(1.0),20210818_granblue(1.0),20210818_diet(1.0),20210818_pumpitup(1.0),20210818_skwyverns(1.0),20210818_game_mabinogi1(1.0),20210818_plastic_s(1.0),20210818_maplestory(1.0),20210818_ff14(1.0),20210818_exam_new2(1.0),20210818_stock_new2(1.0),20210818_lotto_new2(1.0),20210818_etc_program2(1.0),20210818_gf(1.0),20210818_ufc(1.0),20210818_toy(1.0),20210818_earphone(1.0),20210818_stream(1.0),20210818_jumper(1.0),20210818_redvelvet(1.0),20210818_lgbt(1.0),20210818_depression_new1(1.0)]"
79,531.0,칸,"[20210818_stream(335.0),20210818_leagueoflegends4(62.0),20210818_lostark(26.0),20210818_kancolle(16.0),20210818_fantasy_new(10.0),20210818_car_new1(9.0),20210818_closers(6.0),20210818_granblue(6.0),20210818_comic_new2(6.0),20210818_typemoon(5.0),20210818_elsword(5.0),20210818_pridepc_new4(4.0),20210818_toy(4.0),20210818_idolmaster(4.0),20210818_baseball_new10(3.0),20210818_sphero(2.0),20210818_lgtwins_new(2.0),20210818_giants_new2(2.0),20210818_football_new7(2.0),20210818_fashion_new1(2.0),20210818_maplestory(2.0),20210818_chicken(2.0),20210818_ani1_new1(2.0),20210818_fifaonline(2.0),20210818_hiphop(2.0),20210818_doosanbears_new1(1.0),20210818_japan_entertainment(1.0),20210818_bts(1.0),20210818_pumpitup(1.0),20210818_loan_new1(1.0),20210818_boardgame(1.0),20210818_lotto_new2(1.0),20210818_sdvx(1.0),20210818_gongik_new(1.0),20210818_w_entertainer(1.0),20210818_d_fighter_new2(1.0),20210818_baseball_ab2(1.0),20210818_tr(1.0),20210818_lgbt(1.0)]"
80,528.0,선발,"[20210818_giants_new2(107.0),20210818_lgtwins_new(92.0),20210818_tigers_new(65.0),20210818_samsunglions_new(49.0),20210818_baseball_ab2(38.0),20210818_hanwhaeagles_new(37.0),20210818_sh_new(21.0),20210818_ktwiz(18.0),20210818_doosanbears_new1(16.0),20210818_skwyverns(15.0),20210818_lotto_new2(15.0),20210818_ncdinos(15.0),20210818_grsgills(9.0),20210818_football_new7(8.0),20210818_akb48(5.0),20210818_leagueoflegends4(4.0),20210818_government(3.0),20210818_japan_entertainment(1.0),20210818_ib_new2(1.0),20210818_m_entertainer1(1.0),20210818_w_entertainer(1.0),20210818_top12(1.0),20210818_redvelvet(1.0),20210818_lgbt(1.0),20210818_baseball_new10(1.0),20210818_nba(1.0)]"
81,522.0,타자,"[20210818_lgtwins_new(124.0),20210818_hanwhaeagles_new(67.0),20210818_samsunglions_new(66.0),20210818_giants_new2(52.0),20210818_baseball_ab2(49.0),20210818_tigers_new(40.0),20210818_ktwiz(25.0),20210818_sh_new(25.0),20210818_bitcoins(21.0),20210818_doosanbears_new1(13.0),20210818_ncdinos(10.0),20210818_skwyverns(8.0),20210818_lotto_new2(6.0),20210818_loan_new1(3.0),20210818_japan_entertainment(1.0),20210818_football_new7(1.0),20210818_akb48(1.0),20210818_stock_new2(1.0),20210818_sbsdocu(1.0),20210818_leagueoflegends4(1.0),20210818_fantasy_new(1.0),20210818_w_entertainer(1.0),20210818_tr(1.0),20210818_depression_new1(1.0)]"
82,517.0,경민,"[20210818_ib_new2(507.0),20210818_doosanbears_new1(6.0),20210818_baseball_ab2(3.0)]"
83,515.0,럭,"[20210818_lostark(413.0),20210818_pridepc_new4(19.0),20210818_smartphone(14.0),20210818_m_entertainer1(12.0),20210818_maplestory(9.0),20210818_mabi_heroes2(6.0),20210818_stream(5.0),20210818_w_entertainer(4.0),20210818_baseball_ab2(4.0),20210818_football_new7(2.0),20210818_bts(2.0),20210818_fifaonline(2.0),20210818_hiphop(2.0),20210818_sphero(1.0),20210818_pumpitup(1.0),20210818_ff14(1.0),20210818_divination(1.0),20210818_loan_new1(1.0),20210818_exam_new2(1.0),20210818_iu_new(1.0),20210818_gf(1.0),20210818_ani1_new1(1.0),20210818_bike(1.0),20210818_fantasy_new(1.0),20210818_blackpink(1.0),20210818_neostock(1.0),20210818_jumper(1.0),20210818_grsgills(1.0),20210818_comic_new2(1.0),20210818_idolmaster(1.0)]"
84,512.0,무기,"[20210818_lostark(239.0),20210818_monsterhunter(51.0),20210818_maplestory(36.0),20210818_granblue(42.0),20210818_mabi_heroes2(29.0),20210818_elsword(14.0),20210818_game_mabinogi1(13.0),20210818_idolmaster(10.0),20210818_d_fighter_new2(10.0),20210818_ff14(9.0),20210818_closers(8.0),20210818_drama_new3(7.0),20210818_leagueoflegends4(6.0),20210818_comic_new2(5.0),20210818_baseball_ab2(4.0),20210818_kancolle(2.0),20210818_arbeit(2.0),20210818_stock_new2(2.0),20210818_ani1_new1(2.0),20210818_fantasy_new(2.0),20210818_w_entertainer(2.0),20210818_car_new1(2.0),20210818_bns(2.0),20210818_baseball_new10(2.0),20210818_programming(1.0),20210818_bitcoins(1.0),20210818_samsunglions_new(1.0),20210818_immovables(1.0),20210818_coronavirus(1.0),20210818_pridepc_new4(1.0),20210818_plastic_s(1.0),20210818_ib_new2(1.0),20210818_etc_program2(1.0),20210818_mystery(1.0),20210818_toy(1.0),20210818_stream(1.0),20210818_neostock(1.0),20210818_lgbt(1.0)]"
85,507.0,방송,"[20210818_ib_new2(201.0),20210818_stream(139.0),20210818_mistertrot(16.0),20210818_drama_new3(13.0),20210818_grsgills(11.0),20210818_leagueoflegends4(10.0),20210818_lostark(9.0),20210818_baseball_new10(9.0),20210818_maplestory(6.0),20210818_pokemon(6.0),20210818_fantasy_new(6.0),20210818_baseball_ab2(6.0),20210818_granblue(5.0),20210818_top12(4.0),20210818_bitcoins(4.0),20210818_ani1_new1(4.0),20210818_sdvx(4.0),20210818_redvelvet(3.0),20210818_lgtwins_new(3.0),20210818_pumpitup(3.0),20210818_ff14(3.0),20210818_neostock(3.0),20210818_fight_game(3.0),20210818_pripara(2.0),20210818_w_entertainer(2.0),20210818_d_fighter_new2(2.0),20210818_idolmaster(2.0),20210818_giants_new2(2.0),20210818_akb48(2.0),20210818_producex(2.0),20210818_skwyverns(1.0),20210818_typemoon(1.0),20210818_etc_program2(1.0),20210818_sbsdocu(1.0),20210818_comic_new2(1.0),20210818_elsword(1.0),20210818_samsunglions_new(1.0),20210818_loan_new1(1.0),20210818_closers(1.0),20210818_ktwiz(1.0),20210818_stock_new2(1.0),20210818_extra(1.0),20210818_kart(1.0),20210818_m_entertainer1(1.0),20210818_depression_new1(1.0),20210818_fifaonline(1.0),20210818_hiphop(1.0),20210818_programming(0.0),20210818_monsterhunter(0.0),20210818_touhou(0.0),20210818_figureskating_new(0.0),20210818_mabi_heroes2(0.0),20210818_football_new7(0.0),20210818_bts(0.0),20210818_kancolle(0.0),20210818_game_mabinogi1(0.0),20210818_pridepc_new4(0.0),20210818_divination(0.0),20210818_iu_new(0.0),20210818_smartphone(0.0),20210818_mystery(0.0),20210818_superband2(0.0),20210818_tr(0.0),20210818_ncdinos(0.0)]"
86,506.0,유리,"[20210818_top12(241.0),20210818_grsgills(167.0),20210818_etc_program2(12.0),20210818_mabi_heroes2(10.0),20210818_baseball_new10(9.0),20210818_closers(8.0),20210818_comic_new2(6.0),20210818_akb48(5.0),20210818_lotto_new2(5.0),20210818_samsunglions_new(4.0),20210818_sh_new(4.0),20210818_tigers_new(3.0),20210818_baseball_ab2(3.0),20210818_idolmaster(3.0),20210818_ani1_new1(2.0),20210818_leagueoflegends4(2.0),20210818_earphone(2.0),20210818_lgtwins_new(2.0),20210818_giants_new2(2.0),20210818_bitcoins(1.0),20210818_cs_new1(1.0),20210818_doosanbears_new1(1.0),20210818_granblue(1.0),20210818_japan_entertainment(1.0),20210818_pumpitup(1.0),20210818_typemoon(1.0),20210818_producex(1.0),20210818_maplestory(1.0),20210818_mistertrot(1.0),20210818_drama_new3(1.0),20210818_smartphone(1.0),20210818_pokemon(1.0),20210818_toy(1.0),20210818_gongik_new(1.0),20210818_fantasy_new(1.0),20210818_stream(1.0),20210818_d_fighter_new2(1.0),20210818_car_new1(1.0),20210818_depression_new1(1.0),20210818_fifaonline(1.0),20210818_ncdinos(1.0)]"
87,502.0,凸,[20210818_etc_program2(502.0)]
88,500.0,룩,"[20210818_stream(365.0),20210818_d_fighter_new2(34.0),20210818_lostark(18.0),20210818_closers(15.0),20210818_elsword(10.0),20210818_idolmaster(7.0),20210818_car_new1(6.0),20210818_mabi_heroes2(5.0),20210818_tr(4.0),20210818_ff14(3.0),20210818_baseball_new10(3.0),20210818_programming(2.0),20210818_monsterhunter(2.0),20210818_diet(2.0),20210818_maplestory(2.0),20210818_gf(2.0),20210818_fantasy_new(2.0),20210818_cs_new1(1.0),20210818_government(1.0),20210818_lgtwins_new(1.0),20210818_giants_new2(1.0),20210818_doosanbears_new1(1.0),20210818_typemoon(1.0),20210818_game_mabinogi1(1.0),20210818_pridepc_new4(1.0),20210818_divination(1.0),20210818_ktwiz(1.0),20210818_pripara(1.0),20210818_drama_new3(1.0),20210818_bike(1.0),20210818_leagueoflegends4(1.0),20210818_m_entertainer1(1.0),20210818_grsgills(1.0),20210818_hanwhaeagles_new(1.0),20210818_baseball_ab2(1.0),20210818_bns(1.0),20210818_depression_new1(1.0)]"
89,495.0,레이드,"[20210818_stream(160.0),20210818_lostark(157.0),20210818_elsword(55.0),20210818_d_fighter_new2(40.0),20210818_ff14(21.0),20210818_closers(16.0),20210818_mabi_heroes2(14.0),20210818_granblue(9.0),20210818_tr(7.0),20210818_pokemon(5.0),20210818_maplestory(2.0),20210818_ani1_new1(2.0),20210818_fantasy_new(2.0),20210818_car_new1(2.0),20210818_bns(2.0),20210818_fight_game(2.0),20210818_idolmaster(2.0)]"
90,492.0,백호,"[20210818_ktwiz(205.0),20210818_lgtwins_new(159.0),20210818_giants_new2(27.0),20210818_tigers_new(18.0),20210818_samsunglions_new(14.0),20210818_skwyverns(14.0),20210818_baseball_ab2(12.0),20210818_hanwhaeagles_new(9.0),20210818_sh_new(7.0),20210818_lotto_new2(5.0),20210818_ncdinos(5.0),20210818_baseball_new10(5.0),20210818_doosanbears_new1(4.0),20210818_arbeit(4.0),20210818_football_new7(2.0),20210818_akb48(2.0)]"
91,491.0,전각,"[20210818_lostark(457.0),20210818_idolmaster(20.0),20210818_samsunglions_new(6.0),20210818_lgtwins_new(6.0),20210818_bns(3.0)]"
92,488.0,신곡,"[20210818_mistertrot(385.0),20210818_redvelvet(17.0),20210818_winkgall(8.0),20210818_hiphop(8.0),20210818_w_entertainer(7.0),20210818_baseball_new10(7.0),20210818_etc_program2(6.0),20210818_comic_new2(6.0),20210818_drama_new3(5.0),20210818_fantasy_new(4.0),20210818_top12(4.0),20210818_plastic_s(2.0),20210818_m_entertainer1(2.0),20210818_grsgills(2.0),20210818_hanwhaeagles_new(2.0),20210818_baseball_ab2(2.0),20210818_lgbt(2.0),20210818_twice_new(2.0),20210818_bitcoins(1.0),20210818_bts(1.0),20210818_kancolle(1.0),20210818_maplestory(1.0),20210818_divination(1.0),20210818_pripara(1.0),20210818_extra(1.0),20210818_pokemon(1.0),20210818_earphone(1.0),20210818_jumper(1.0),20210818_tr(1.0)]"
93,486.0,폿,"[20210818_lostark(240.0),20210818_leagueoflegends4(162.0),20210818_stream(23.0),20210818_mistertrot(17.0),20210818_bts(11.0),20210818_typemoon(11.0),20210818_grsgills(6.0),20210818_drama_new3(4.0),20210818_akb48(2.0),20210818_producex(2.0),20210818_maplestory(2.0),20210818_gf(2.0),20210818_pokemon(2.0),20210818_idolmaster(2.0)]"
94,485.0,항미,"[20210818_grsgills(482.0),20210818_top12(4.0)]"
95,484.0,로,"[20210818_lostark(157.0),20210818_stream(155.0),20210818_d_fighter_new2(20.0),20210818_mabi_heroes2(15.0),20210818_elsword(13.0),20210818_idolmaster(12.0),20210818_ib_new2(12.0),20210818_fantasy_new(9.0),20210818_granblue(7.0),20210818_maplestory(7.0),20210818_bts(5.0),20210818_pridepc_new4(5.0),20210818_closers(4.0),20210818_grsgills(4.0),20210818_comic_new2(3.0),20210818_skwyverns(3.0),20210818_ff14(3.0),20210818_baseball_new10(3.0),20210818_giants_new2(2.0),20210818_game_mabinogi1(2.0),20210818_leagueoflegends4(2.0),20210818_fight_game(2.0),20210818_ani1_new1(2.0),20210818_bike(2.0),20210818_depression_new1(2.0),20210818_kancolle(2.0),20210818_fashion_new1(2.0),20210818_fifaonline(2.0),20210818_bitcoins(1.0),20210818_samsunglions_new(1.0),20210818_divination(1.0),20210818_gf(1.0),20210818_car_new1(1.0),20210818_programming(1.0),20210818_figureskating_new(1.0),20210818_lgtwins_new(1.0),20210818_football_new7(1.0),20210818_pokemon(1.0),20210818_w_entertainer(1.0),20210818_jumper(1.0),20210818_baseball_ab2(1.0),20210818_lgbt(1.0),20210818_twice_new(1.0),20210818_monsterhunter(1.0),20210818_japan_entertainment(1.0),20210818_typemoon(1.0),20210818_exam_new2(1.0),20210818_iu_new(1.0),20210818_boardgame(1.0),20210818_lotto_new2(1.0),20210818_sdvx(1.0),20210818_neostock(1.0),20210818_hiphop(1.0),20210818_cs_new1(0.0),20210818_diet(0.0),20210818_pumpitup(0.0),20210818_akb48(0.0),20210818_plastic_s(0.0),20210818_loan_new1(0.0),20210818_ktwiz(0.0),20210818_stock_new2(0.0),20210818_extra(0.0),20210818_ufc(0.0),20210818_toy(0.0),20210818_gongik_new(0.0),20210818_earphone(0.0),20210818_tigers_new(0.0),20210818_blackpink(0.0),20210818_top12(0.0),20210818_tr(0.0),20210818_redvelvet(0.0),20210818_ncdinos(0.0)]"
96,482.0,주경,[20210818_giants_new2(482.0)]
97,481.0,이준,"[20210818_drama_new3(147.0),20210818_baseball_new10(64.0),20210818_stock_new2(88.0),20210818_immovables(26.0),20210818_fantasy_new(24.0),20210818_baseball_ab2(20.0),20210818_giants_new2(18.0),20210818_lgtwins_new(15.0),20210818_samsunglions_new(9.0),20210818_stream(8.0),20210818_hanwhaeagles_new(8.0),20210818_comic_new2(8.0),20210818_neostock(6.0),20210818_lostark(5.0),20210818_divination(4.0),20210818_mystery(3.0),20210818_grsgills(3.0),20210818_sh_new(3.0),20210818_lgbt(3.0),20210818_pridepc_new4(2.0),20210818_mistertrot(2.0),20210818_ib_new2(2.0),20210818_gf(2.0),20210818_bitcoins(1.0),20210818_nba(1.0),20210818_granblue(1.0),20210818_skwyverns(1.0),20210818_akb48(1.0),20210818_maplestory(1.0),20210818_pripara(1.0),20210818_etc_program2(1.0),20210818_sbsdocu(1.0),20210818_leagueoflegends4(1.0),20210818_tigers_new(1.0),20210818_car_new1(1.0),20210818_depression_new1(1.0),20210818_idolmaster(1.0)]"
