rank, score, word, galls
18,965.0,우석,"[20210818_lgtwins_new(784.0),20210818_tigers_new(44.0),20210818_giants_new2(27.0),20210818_ktwiz(27.0),20210818_baseball_ab2(25.0),20210818_doosanbears_new1(11.0),20210818_lotto_new2(10.0),20210818_sh_new(10.0),20210818_ncdinos(10.0),20210818_samsunglions_new(8.0),20210818_skwyverns(4.0),20210818_producex(4.0),20210818_loan_new1(2.0),20210818_hanwhaeagles_new(2.0)]"
19,945.0,도지,"[20210818_bitcoins(918.0),20210818_fantasy_new(7.0),20210818_lgbt(4.0),20210818_football_new7(2.0),20210818_extra(2.0),20210818_m_entertainer1(2.0),20210818_d_fighter_new2(2.0),20210818_neostock(2.0),20210818_baseball_new10(2.0),20210818_cs_new1(2.0)]"
20,931.0,박지성,"[20210818_football_new7(904.0),20210818_fantasy_new(7.0),20210818_baseball_ab2(7.0),20210818_ib_new2(2.0),20210818_leagueoflegends4(2.0),20210818_comic_new2(2.0),20210818_fifaonline(2.0),20210818_nba(2.0)]"
21,898.0,경기,"[20210818_lgtwins_new(121.0),20210818_giants_new2(96.0),20210818_leagueoflegends4(75.0),20210818_football_new7(69.0),20210818_tigers_new(65.0),20210818_hanwhaeagles_new(49.0),20210818_baseball_ab2(48.0),20210818_samsunglions_new(47.0),20210818_ktwiz(47.0),20210818_lotto_new2(46.0),20210818_sh_new(44.0),20210818_skwyverns(57.0),20210818_ncdinos(30.0),20210818_doosanbears_new1(29.0),20210818_nba(11.0),20210818_ufc(11.0),20210818_government(6.0),20210818_baseball_new10(6.0),20210818_figureskating_new(5.0),20210818_immovables(4.0),20210818_loan_new1(4.0),20210818_drama_new3(4.0),20210818_ib_new2(4.0),20210818_m_entertainer1(4.0),20210818_idolmaster(3.0),20210818_stream(2.0),20210818_car_new1(2.0),20210818_kancolle(1.0),20210818_pumpitup(1.0),20210818_arbeit(1.0),20210818_coronavirus(1.0),20210818_producex(1.0),20210818_divination(1.0),20210818_stock_new2(1.0),20210818_extra(1.0),20210818_kart(1.0),20210818_neostock(1.0),20210818_comic_new2(1.0),20210818_fifaonline(1.0)]"
22,894.0,뿡2,"[20210818_w_entertainer(881.0),20210818_m_entertainer1(10.0),20210818_producex(3.0)]"
23,888.0,오베론,"[20210818_typemoon(872.0),20210818_elsword(13.0),20210818_idolmaster(3.0)]"
24,874.0,흥미,"[20210818_football_new7(762.0),20210818_baseball_ab2(32.0),20210818_fifaonline(14.0),20210818_comic_new2(6.0),20210818_giants_new2(5.0),20210818_drama_new3(5.0),20210818_ib_new2(5.0),20210818_baseball_new10(5.0),20210818_leagueoflegends4(4.0),20210818_grsgills(4.0),20210818_nba(4.0),20210818_immovables(3.0),20210818_etc_program2(3.0),20210818_m_entertainer1(3.0),20210818_stream(3.0),20210818_top12(3.0),20210818_diet(1.0),20210818_coronavirus(1.0),20210818_plastic_s(1.0),20210818_ufc(1.0),20210818_fantasy_new(1.0),20210818_d_fighter_new2(1.0),20210818_blackpink(1.0),20210818_neostock(1.0),20210818_car_new1(1.0),20210818_fight_game(1.0),20210818_idolmaster(1.0)]"
25,873.0,쿠크,"[20210818_stream(184.0),20210818_lostark(678.0),20210818_cs_new1(3.0),20210818_fantasy_new(3.0),20210818_depression_new1(3.0),20210818_comic_new2(3.0)]"
26,866.0,투수,"[20210818_giants_new2(195.0),20210818_lgtwins_new(157.0),20210818_tigers_new(97.0),20210818_samsunglions_new(88.0),20210818_hanwhaeagles_new(83.0),20210818_baseball_ab2(52.0),20210818_sh_new(36.0),20210818_ktwiz(33.0),20210818_lotto_new2(33.0),20210818_ncdinos(28.0),20210818_doosanbears_new1(31.0),20210818_skwyverns(22.0),20210818_leagueoflegends4(3.0),20210818_baseball_new10(3.0),20210818_granblue(2.0),20210818_stock_new2(2.0),20210818_comic_new2(2.0)]"
27,856.0,김민주,"[20210818_baseball_new10(166.0),20210818_top12(307.0),20210818_grsgills(299.0),20210818_akb48(29.0),20210818_etc_program2(19.0),20210818_w_entertainer(10.0),20210818_ib_new2(8.0),20210818_drama_new3(6.0),20210818_leagueoflegends4(4.0),20210818_government(2.0),20210818_bts(2.0),20210818_redvelvet(2.0),20210818_comic_new2(2.0),20210818_hiphop(2.0)]"
