words,galls
"무색^11.44,버퍼^10.62,범수^9.23,미라클^8.38,서클^8.37,신각^7.35,오베론^6.51,혼사^6.26,이우^6.18,윤석^5.98,갯마을^5.80,기안^5.58,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ^5.42,안붕^5.11,원희룡^5.03","20210818_drama_new3^21.88,20210818_closers^18.19,20210818_hanwhaeagles_new^13.50,20210818_maplestory^12.37,20210818_d_fighter_new2^10.37"
"凸^79.42,예서^20.18,천신^16.20,예영^16.10,복어^13.91,미유^13.11,이혜원^12.03,지용^11.97,키즈^11.85,토미^10.40,매출^8.79,온콘^7.21,앨범^6.45,블핑^6.13,래니^6.10","20210818_etc_program2^96.63,20210818_hiphop^6.37,20210818_baseball_new10^3.66,20210818_redvelvet^3.40,20210818_top12^2.43"
"범수^31.49,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ^18.91,초상^15.98,김태연^14.28,이성열^12.84,주석^11.85,혼사^10.04,凸^9.97,갯마을^9.72,은퇴식^9.64,기무라^9.25,김범수^9.23,기안^8.95,윤호^8.61,윤석^8.44","20210818_hanwhaeagles_new^46.76,20210818_drama_new3^35.52,20210818_elsword^29.80,20210818_sh_new^21.67,20210818_granblue^20.83"
"초상^40.81,닉스^20.94,코크^18.37,둥지^16.34,셀레^14µ.28,마공^14.00,시너지^12.43,메타^11.48,에센^10.91,던전^10.28,딜^9.93,팟^9.92,마클^9.91,홍예^9.91,공명^9.45","20210818_elsword^75.45,20210818_baseball_ab2^9.04,20210818_samsunglions_new^6.61,20210818_grsgills^1.96,20210818_lotto_new2^1.95"
"몽고메리^12.41,불펜^11.58,몽고^10.87,혼사^10.09,갯마을^9.17,탁주^8.84,상수^8.78,기무라^8.70,기안^8.37,풍기^7.94,윤석^7.82,졸^7.77,이닝^7.77,소양^7.74,강민호^7.71","20210818_samsunglions_new^36.62,20210818_drama_new3^32.42,20210818_baseball_ab2^28.91,20210818_granblue^19.10,20210818_divination^9.62"
"츄^11.17,김민주^11.16,폭격^10.69,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ^10.58,야붕이^10.13,탈레반^9.63,무지개반사^8.69,범수^7.67,아랑누나^7.65,야수^7.63,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ^7.59,야^6.38,ㄴ^6.37,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ^6.35,비추폭격^6.26","20210818_baseball_new10^50.86,20210818_baseball_ab2^19.71,20210818_hanwhaeagles_new^9.27,20210818_hiphop^6.55,20210818_granblue^4.62"
"폴드^16.41,플립^14.16,삼성^13.64,불펜^13.27,아이폰^12.55,몽고메리^12.13,몽고^11.28,강민호^9.96,탁주^9.94,풍기^8.77,진승현^8.11,갤럭시^7.80,워치^7.22,필주^7.20,야수^6.87","20210818_samsunglions_new^39.43,20210818_smartphone^34.94,20210818_baseball_new10^21.57,20210818_pridepc_new4^12.17,20210818_w_entertainer^4.70"
"폴드^22.94,플립^21.66,아이폰^18.80,그레이^14.18,졸^12.57,갤럭시^11.55,갈비^11.01,삼성^10.81,갓데^10.71,워치^10.58,보트^9.93,타르^9.77,노트^8.35,범수^8.34,다저스^8.30","20210818_smartphone^51.44,20210818_baseball_ab2^44.86,20210818_pridepc_new4^20.74,20210818_hiphop^16.80,20210818_idolmaster^8.66"
"그레이^79.46,앨범^23.31,래퍼^21.44,엘비^19.60,힙^19.12,심바^13.30,자부^13.18,힙합^12.52,박재범^9.62,쇼^7.59,오가이^7.49,랩^6.10,디스^6.05,민호^5.19,작곡^5.15","20210818_hiphop^96.99,20210818_samsunglions_new^9.47,20210818_drama_new3^5.96,20210818_redvelvet^4.68,20210818_m_entertainer1^4.68"
"플립^16.73,폴드^16.41,아이폰^11.99,삼성^8.09,워치^6.44,갤럭시^5.49,애플^5.40,앱^4.93,노트^4.75,자급^4.29,엽^4.08,사전^4.06,선족^3.79,광고^3.31,판매량^3.16","20210818_smartphone^33.17,20210818_baseball_new10^11.44,20210818_baseball_ab2^5.66,20210818_bts^4.47,20210818_granblue^4.14"
"꾹^70.86,찜^34.00,지민이^30.25,등골^22.56,정국이가^15.27,정국팬^15.27,뷔팬^15.27,방탄^13.86,박지민^12.06,빅히트^10.66,삐^10.14,모모^7.71,방개^7.28,지미^6.81,정국^6.74","20210818_bts^99.05,20210818_extra^3.48,20210818_pridepc_new4^2.78,20210818_tigers_new^2.61,20210818_nba^2.56"
"견적^9.74,본체^7.82,채굴^6.91,그래픽^6.83,컴^6.71,컴퓨터^6.50,모니터^5.86,쿨러^5.78,램^4.88,보드^4.80,졸^4.71,이륙^4.58,몽고메리^4.55,조립^4.36,이삭^4.31","20210818_pridepc_new4^25.49,20210818_baseball_ab2^14.50,20210818_samsunglions_new^9.76,20210818_baseball_new10^5.65,20210818_drama_new3^4.30"
"용산^35.98,임대^27.30,과천^26.72,부개^13.61,둔촌^11.22,아파트^11.10,분당^10.76,부동산^10.00,건축^8.46,압구정^8.02,반포^7.69,집값^6.39,둔주^6.35,주공^5.84,전세^5.44","20210818_immovables^66.23,20210818_baseball_ab2^10.48,20210818_government^8.12,20210818_samsunglions_new^5.79,20210818_car_new1^5.08"
"쿰^40.07,고트^16.05,론^15.04,탐슨^10.25,커리^9.76,몽고메리^8.88,용산^8.80,비드^8.35,퀴^8.27,범수^7.86,몽고^7.85,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ^7.33,우승^7.13,임대^6.56,현중^6.55","20210818_nba^53.23,20210818_samsunglions_new^20.51,20210818_immovables^15.43,20210818_hanwhaeagles_new^6.54,20210818_sh_new^5.83"
"용산^10.76,임대^7.81,과천^6.79,부개^3.85,언냐들^3.55,장미^3.35,분당^3.24,둔촌^3.18,띠니^3.09,부동산^2.85,아파트^2.73,안붕^2.46,건축^2.38,압구정^2.32,플립^2.25","20210818_immovables^17.60,20210818_baseball_new10^7.08,20210818_m_entertainer1^6.91,20210818_smartphone^3.64,20210818_pridepc_new4^3.25"
"투어^23.96,최면^19.72,빵집^18.99,성보^17.81,포도^16.43,담당^16.24,롯데리아^14.83,에리^14.66,쇼^14.31,카렌^13.91,사치^13.80,멜빵^13.57,배수^12.69,헌혈^12.11,젖^10.95","20210818_idolmaster^91.02,20210818_car_new1^14.90,20210818_mabi_heroes2^7.00,20210818_loan_new1^6.15,20210818_game_mabinogi1^6.08"
"전기차^36.26,아반떼^33.78,연비^20.83,현기^15.69,그랜저^14.63,다저스^14.62,운전^14.51,중고차^13.61,스팅^13.18,흉기^12.90,차^12.78,신형^11.68,땅콩^11.38,아우디^11.06,카푸^10.75","20210818_car_new1^86.44,20210818_loan_new1^26.88,20210818_lotto_new2^22.85,20210818_bike^9.27,20210818_arbeit^5.76"
